pair,delta_R2_mean,delta_R2_std,delta_CC_mean,delta_CC_std,delta_RMSE_mean,delta_RMSE_std,wins
3-day,0.31864156349538525,0.16862883110046495,0.29274459959068677,0.16780755790345947,-14.591187060565455,7.583708428569565,3
4-day,0.5465012331340747,0.0768755877136536,0.5314093916933111,0.019996365743134223,-18.298639781178995,3.1940317846316106,3
8-day,-0.02103502871502111,0.09262388972143118,0.01832464887873238,0.14438142628422682,0.6857605547222198,3.255169910781232,1
