pair,method,R2_mean,R2_std,CC_mean,CC_std,RMSE_mean,RMSE_std
8-day,Source-only,-0.044114658980232924,0.027870232394778725,-0.007206910237141244,0.059952068391405995,65.92212880792503,0.8031071489977952
8-day,Scratch,0.1611165594246332,0.0915726978898931,0.45814462865942235,0.08469113867954926,59.407369098846594,3.094520229478086
8-day,Transfer,0.1400815307096121,0.022305046159160458,0.4764692775381547,0.06500382653204087,60.09312965356881,0.8638942093654958
3-day,Source-only,-0.030250666234263684,0.01955266047905991,-0.006167516301991087,0.03407914144667831,82.9948992876969,0.725416558578677
3-day,Scratch,0.03527902126882084,0.10647679894699705,0.30993617621914576,0.12361767331317106,80.23818261151543,4.584833249314632
3-day,Transfer,0.3539205847642061,0.0623506591848236,0.6026807758098326,0.044677958401955604,65.64699555094997,3.0014724648444298
4-day,Source-only,0.5852645460692444,0.028530655628218413,0.7706422082727543,0.018872000032816912,38.59376881130604,1.312278612546021
4-day,Scratch,-0.09594259119784732,0.013542586602974053,0.17907697125961675,0.011762981529007233,62.6782020782778,0.37834626099933555
4-day,Transfer,0.45055864193622747,0.0848486089282673,0.710486362952928,0.02595513173931019,44.37956229709881,3.413771356875569
