seed,pair,delta_R2_transfer_minus_scratch,delta_CC_transfer_minus_scratch,delta_RMSE_transfer_minus_scratch,transfer_beats_scratch_R2
42,3-day,0.12394418545574853,0.09910400174282624,-5.834535064964967,True
42,4-day,0.5640696048586842,0.5290826853475254,-19.079590914719752,True
42,8-day,0.0833639359524882,0.1844340252843002,-2.966762305731926,True
43,3-day,0.4136705722188643,0.39563660654162747,-18.911050245257215,True
43,4-day,0.6130720087708585,0.5524673288306541,-21.029770457435284,True
43,8-day,-0.05311419595700961,-0.052411250484126315,1.7436218850987046,False
44,3-day,0.41830993281154305,0.38349319048760666,-19.027975871474183,True
44,4-day,0.4623620857726816,0.512678160901754,-14.786557971381953,True
44,8-day,-0.09335482614054191,-0.07704882816397673,3.2804220847998806,False
