session,channels,weight_scale_mode,evaluated_steps,potential_saturations,fp32_R2,fixed_R2,delta_R2,fp32_CC,fixed_CC,delta_CC,fp32_RMSE,fixed_RMSE,delta_RMSE
indy_20170124_01,96,pow2,67249,0,0.7420605259636042,0.7408857268369049,-0.0011747991266992,0.8654430239138227,0.8651373492588487,-0.0003056746549739,30.23377469923293,30.293471481419346,0.059696782186414
indy_20170127_03,96,pow2,77268,0,0.7305248766251862,0.7310986749972337,0.0005737983720475,0.8585290034859342,0.8587927491504999,0.0002637456645656,42.31260998857242,42.24648097078702,-0.0661290177853999
indy_20170131_02,96,pow2,90601,0,0.7100823885025915,0.7098148492255126,-0.0002675392770788,0.8456659140243286,0.8454769192613887,-0.0001889947629398,32.28802864111158,32.300897639295854,0.012868998184274
indy_20160630_01,96,pow2,184029,0,0.5855055816909426,0.5866498132622346,0.001144231571292,0.7697314366254333,0.7682560985387575,-0.0014753380866757,41.92570671883552,41.87592919114239,-0.0497775276931236
indy_20160622_01,96,pow2,206684,0,0.7165905070083952,0.7172830600308364,0.0006925530224412,0.8521284033877741,0.8523832248207249,0.0002548214329508,31.418238328230743,31.38946119287549,-0.0287771353552486
