"session","channels","status","completed_epoch","best_epoch","validation_R2","test_R2","test_CC","test_RMSE","delta_R2_vs_96","delta_CC_vs_96","training_seconds"
"indy_20170124_01","96","complete","42","32","0.73655917740042","0.742060525963604","0.865443023913823","30.2337746992329","0","0","4244.9128531"
"indy_20170124_01","64","complete","52","42","0.73464338544342","0.727114604391527","0.857243544498811","31.1250231821467","-0.0149459215720769","-0.00819947941501153","4337.2260355"
"indy_20170124_01","32","complete","29","19","0.673095108067483","0.650129958376314","0.808566248515524","35.2146078826531","-0.0919305675872898","-0.0568767753982982","2602.9448038"
"indy_20170127_03","96","complete","56","46","0.688512165860988","0.730524876625186","0.858529003485934","42.3126099885724","0","0","6355.8861895"
"indy_20170127_03","64","complete","65","55","0.665198024356387","0.707681779718134","0.847190545938968","44.063205805684","-0.0228430969070523","-0.0113384575469658","6671.4847361"
"indy_20170127_03","32","complete","40","30","0.568519985605109","0.645087807950314","0.806060365635956","48.3743450733032","-0.0854370686748722","-0.0524686378499787","4062.5762032"
"indy_20170131_02","96","complete","21","11","0.688484613592716","0.710082388502592","0.845665914024329","32.2880286411116","0","0","2683.39084819984"
"indy_20170131_02","64","complete","30","20","0.655393174156404","0.680590090409933","0.828538918744338","33.836885198729","-0.0294922980926583","-0.0171269952799902","3285.85874069999"
"indy_20170131_02","32","complete","32","22","0.627185455801132","0.648952927431284","0.814483363079613","35.2655731641876","-0.0611294610713073","-0.0311825509447157","3507.643359"
"indy_20160630_01","96","complete","38","28","0.610262426304066","0.585505581690943","0.769731436625433","41.9257067188355","0","0","8642.696233"
"indy_20160630_01","64","complete","49","39","0.612923391033143","0.597403425225177","0.771788714181476","41.3351395931812","0.011897843534234","0.00205727755604235","9034.6966805"
"indy_20160630_01","32","complete","47","37","0.612657886193305","0.574966069614377","0.75622031260788","42.4735580105726","-0.0105395120765653","-0.0135111240175529","9696.19655800001"
"indy_20160622_01","96","complete","31","21","0.698995792813338","0.716590507008395","0.852128403387774","31.4182383282307","0","0","6547.95920689999"
"indy_20160622_01","64","complete","44","34","0.679374354294283","0.72208518167937","0.852480109188636","30.9607833784409","0.0054946746709752","0.000351705800862412","7832.70930729999"
"indy_20160622_01","32","complete","46","36","0.642681649434166","0.671011019213609","0.822685267483874","33.606923965054","-0.0455794877947861","-0.0294431359039005","8659.5871493"
